,count,mean,std,min,25%,50%,75%,max,range,coefficient_of_variation
V_16,1000.0,0.9623366680810235,0.005131225842087898,0.9465195182356,0.9587081738084526,0.9625304993593238,0.9658452285282486,0.97880620617236,0.03228668793676004,0.5332048556686481
V_17,1000.0,0.963010536583741,0.005147748148421365,0.9471762738371076,0.9593617937366998,0.9631542323739841,0.9665243144736755,0.9794601882237568,0.03228391438664924,0.5345474377344707
V_15,1000.0,0.960694885362065,0.005067088251136579,0.9449128588911266,0.9571670248685776,0.9608900882569835,0.9641352625835922,0.9770772719575892,0.03216441306646256,0.5274399112915964
V_14,1000.0,0.9607676897878975,0.005027793633073223,0.9450490815736812,0.9572933617014601,0.9609527405524495,0.964178283677398,0.9771308695526708,0.03208178797898964,0.523310024526655
V_13,1000.0,0.9614210821692187,0.0049479453484133195,0.9457809503500584,0.9580456689982306,0.9616125142597848,0.964787993249774,0.9775189331387368,0.031737982788678454,0.5146491417942962
V_33,1000.0,0.970057866841076,0.0052451707481205425,0.9531792602545672,0.9664750510952964,0.9700038921427561,0.9738031329652661,0.9846149210920278,0.03143566083746052,0.5407069956765637
V_32,1000.0,0.9697822565598513,0.005237031331121045,0.952937403333026,0.9661862976011346,0.9697368295352689,0.9734936370248009,0.9843085925236656,0.03137118919063964,0.5400213600214323
V_12,1000.0,0.9621728346541288,0.004853109396229447,0.9466772252455168,0.9588474751939039,0.9623478282316237,0.9654730067388932,0.9779233747956784,0.031246149550161584,0.5043906064936856
V_31,1000.0,0.9696362685988579,0.005184568392060595,0.9529931542558034,0.9661010246733734,0.9695979375513388,0.9733140901262338,0.9840172143832128,0.031024060127409325,0.5346920860904255
V_11,1000.0,0.9661152725850379,0.0046933311983206995,0.950961793752046,0.9629282609590775,0.9662526493978799,0.9692600092682472,0.9811683533382078,0.030206559586161807,0.48579412120902893
V_30,1000.0,0.9718560447419031,0.005017633246821781,0.9556168672405838,0.9684584987798909,0.9719560916540542,0.9752889793012024,0.9857845780744916,0.03016771083390779,0.5162938764407562
V_10,1000.0,0.9672128615461797,0.004648174215848067,0.9521360767062166,0.9640190952356383,0.9673479910646753,0.9703455821432462,0.9820880807606795,0.029952004054462966,0.48057407016047415
V_9,1000.0,0.9678736028301527,0.004622256537691571,0.9528338290650278,0.9646785619959476,0.9680079619837664,0.9710100954614738,0.9826478794812068,0.029814050416179017,0.47756819941939344
V_29,1000.0,0.9732296847199186,0.004874642943378507,0.9573657899808782,0.9698592723580212,0.9733408566336795,0.9765233733015768,0.9867973315424136,0.02943154156153538,0.5008728175796814
V_8,1000.0,0.9718031229910479,0.004454740075276628,0.9570226613265695,0.9686327652642026,0.97189735333236,0.974804867587607,0.9858478789860634,0.028825217659493862,0.45839944016290884
V_28,1000.0,0.9761341831773935,0.004621504085816333,0.960948934875516,0.9729649188629765,0.9763037227273907,0.9792104709039028,0.9889480901239224,0.02799915524840635,0.4734496717216657
V_7,1000.0,0.977509217411062,0.004202434327231073,0.9635812034205956,0.9746527935815498,0.9775786158234236,0.9802792203996213,0.9903980915116188,0.026816888091023228,0.4299125013226208
V_27,1000.0,0.9810977249915911,0.004337601043428035,0.9667811372631124,0.9781749765515371,0.9812115155867818,0.9839151060902335,0.9930440738818171,0.026262936618704713,0.44211712380285184
V_26,1000.0,0.9820269345221081,0.004234472015002317,0.9680569637564592,0.979198050745136,0.9821430264728594,0.984807981798956,0.9936120877877024,0.02555512403124316,0.4311971358568666
V_25,1000.0,0.9823566357083546,0.0041341334491572694,0.9687132042904668,0.9796480407305332,0.982409326725457,0.9850525531721999,0.9935881193952256,0.02487491510475881,0.42083834921889046
V_6,1000.0,0.9899839945979781,0.003679122237060285,0.9778863815343188,0.9876010801256868,0.9900660448633072,0.9924147361523548,1.0003940473306978,0.022507665796378973,0.3716345170362413
V_5,1000.0,0.9930898539667327,0.0033249171472145987,0.982266674227913,0.9908914734285088,0.9931637070967552,0.995283120085259,1.0024984865274251,0.020231812299512097,0.33480526801615873
V_24,1000.0,1.0071511619128175,0.002823114505179912,0.9974451842768396,1.005122554849168,1.0072640100730164,1.0090714163001537,1.0157153610646914,0.01827017678785181,0.28030693027431475
V_23,1000.0,1.009313046724415,0.0025546562071157236,1.000691072027742,1.007595584533993,1.0093635706826234,1.0110545272865015,1.0169408244212894,0.016249752393547423,0.2531084102604742
V_4,1000.0,1.0064823152703997,0.0025360797510593862,0.9986722677103936,1.0047874173623792,1.0065338565383346,1.008171464665852,1.0136691190925866,0.014996851382192977,0.25197459633238045
V_22,1000.0,1.0112130829795956,0.002362165887692117,1.0035207509615498,1.0095780262791771,1.0112635544130706,1.0127866270592412,1.0181233537109635,0.014602602749413718,0.2335972434941075
V_3,1000.0,1.0130176919469416,0.0022257030344076346,1.0060190226348429,1.0115312894168762,1.0130662097821546,1.0145070702347803,1.0193081787991138,0.013289156164270954,0.2197101839485158
V_21,1000.0,1.0163276229641247,0.001971876160889987,1.0096820153158237,1.0149510540300706,1.016344564283591,1.0176660990562174,1.0222513421097197,0.012569326793895996,0.19401973500818565
V_20,1000.0,1.0168211091414447,0.0019503854646793371,1.0103373540974154,1.0154808303465952,1.0168339143232232,1.0181031152691906,1.0227120249993706,0.01237467090195521,0.19181205495685957
V_19,1000.0,1.017392435545042,0.0019303819078582433,1.011065999720517,1.0160952497380897,1.0174096419101284,1.0186678444710628,1.0232346554152074,0.0121686556946905,0.1897381816903416
V_18,1000.0,1.0204497221396958,0.0018441680785149022,1.014569531681713,1.0192000114056226,1.0204964965337873,1.0216936967937205,1.0257802057255418,0.011210674043828917,0.180721111339814
V_2,1000.0,1.0208928459316526,0.001834672565502556,1.0150800286720183,1.019645462282102,1.0209472649617322,1.022136852015865,1.026145545921317,0.011065517249298606,0.17971254993253083
V_1,1000.0,1.033242581129212,0.0012755164411315009,1.02922024007957,1.0323760980689762,1.0332724790099803,1.034097551276437,1.0368979293542997,0.007677689274729671,0.12344791672614887
V_sourcebus,1000.0,1.0355565089031804,0.0011706409170942386,1.0318701344718753,1.034766035880406,1.0355843536866867,1.0363419189596954,1.0389155060165658,0.007045371544690537,0.11304461968320147
